indicator,date,rate
open,2021-01-22 20:00:00,19.68
high,2021-01-22 20:00:00,19.68
low,2021-01-22 20:00:00,19.68
close,2021-01-22 20:00:00,19.68
open,2021-01-22 19:24:00,19.67
high,2021-01-22 19:24:00,19.67
low,2021-01-22 19:24:00,19.66
close,2021-01-22 19:24:00,19.67
open,2021-01-22 19:01:00,19.67
high,2021-01-22 19:01:00,19.67
low,2021-01-22 19:01:00,19.67
close,2021-01-22 19:01:00,19.67
open,2021-01-22 18:13:00,19.67
high,2021-01-22 18:13:00,19.67
low,2021-01-22 18:13:00,19.67
close,2021-01-22 18:13:00,19.67
open,2021-01-22 18:02:00,19.64
high,2021-01-22 18:02:00,19.65
low,2021-01-22 18:02:00,19.64
close,2021-01-22 18:02:00,19.65
open,2021-01-22 17:59:00,19.53
high,2021-01-22 17:59:00,19.53
low,2021-01-22 17:59:00,19.53
close,2021-01-22 17:59:00,19.53
open,2021-01-22 17:32:00,19.62
high,2021-01-22 17:32:00,19.64
low,2021-01-22 17:32:00,19.62
close,2021-01-22 17:32:00,19.64
open,2021-01-22 17:28:00,19.54
high,2021-01-22 17:28:00,19.54
low,2021-01-22 17:28:00,19.53
close,2021-01-22 17:28:00,19.53
open,2021-01-22 17:02:00,19.59
high,2021-01-22 17:02:00,19.59
low,2021-01-22 17:02:00,19.59
close,2021-01-22 17:02:00,19.59
open,2021-01-22 16:55:00,19.58
high,2021-01-22 16:55:00,19.58
low,2021-01-22 16:55:00,19.58
close,2021-01-22 16:55:00,19.58
open,2021-01-22 16:24:00,19.63
high,2021-01-22 16:24:00,19.63
low,2021-01-22 16:24:00,19.63
close,2021-01-22 16:24:00,19.63
open,2021-01-22 16:21:00,19.52
high,2021-01-22 16:21:00,19.52
low,2021-01-22 16:21:00,19.52
close,2021-01-22 16:21:00,19.52
open,2021-01-22 16:13:00,19.55
high,2021-01-22 16:13:00,19.55
low,2021-01-22 16:13:00,19.55
close,2021-01-22 16:13:00,19.55
open,2021-01-22 16:10:00,19.51
high,2021-01-22 16:10:00,19.51
low,2021-01-22 16:10:00,19.51
close,2021-01-22 16:10:00,19.51
open,2021-01-22 16:07:00,19.57
high,2021-01-22 16:07:00,19.57
low,2021-01-22 16:07:00,19.57
close,2021-01-22 16:07:00,19.57
open,2021-01-22 16:05:00,19.5
high,2021-01-22 16:05:00,19.5
low,2021-01-22 16:05:00,19.5
close,2021-01-22 16:05:00,19.5
open,2021-01-22 16:03:00,19.55
high,2021-01-22 16:03:00,19.55
low,2021-01-22 16:03:00,19.55
close,2021-01-22 16:03:00,19.55
open,2021-01-22 16:01:00,19.57
high,2021-01-22 16:01:00,19.57
low,2021-01-22 16:01:00,19.57
close,2021-01-22 16:01:00,19.57
open,2021-01-22 16:00:00,19.56
high,2021-01-22 16:00:00,19.58
low,2021-01-22 16:00:00,19.56
close,2021-01-22 16:00:00,19.57
open,2021-01-22 15:59:00,19.565
high,2021-01-22 15:59:00,19.57
low,2021-01-22 15:59:00,19.56
close,2021-01-22 15:59:00,19.57
open,2021-01-22 15:58:00,19.56
high,2021-01-22 15:58:00,19.57
